Vcell	Icell	measured	regon	time
3.34	2700	2697	0	 0.64
3.43	2700	2692	0	 1.07
3.45	2700	2690	0	 1.51
3.47	2700	2692	0	 1.96
3.48	2700	2689	0	 2.41
3.48	2700	2694	0	 2.86
3.49	2700	2692	0	 3.30
3.49	2700	2696	0	 3.75
3.50	2700	2691	0	 4.19
3.50	2700	2691	0	 4.64
3.51	2700	2691	0	 5.08
3.51	2700	2692	0	 5.56
3.51	2700	2691	0	 6.00
3.52	2700	2687	0	 6.45
3.52	2700	2694	0	 6.90
3.52	2700	2690	0	 7.34
3.53	2700	2692	0	 7.79
3.53	2700	2688	0	 8.23
3.53	2700	2689	0	 8.68
3.53	2700	2689	0	 9.13
3.53	2700	2694	0	 9.57
3.54	2700	2691	0	10.02
3.54	2700	2698	0	10.47
3.54	2700	2692	0	10.92
3.54	2700	2694	0	11.36
3.55	2700	2693	0	11.83
3.55	2700	2687	0	12.30
3.55	2700	2685	0	12.74
3.55	2700	2684	0	13.19
3.56	2700	2693	0	13.63
3.56	2700	2696	0	14.08
3.56	2700	2691	0	14.53
3.56	2700	2695	0	14.97
3.57	2700	2691	0	15.42
3.57	2700	2694	0	15.86
3.57	2700	2702	0	16.31
3.57	2700	2692	0	16.76
3.57	2700	2695	0	17.21
3.57	2700	2694	0	17.65
3.58	2700	2687	0	18.10
3.58	2700	2683	0	18.54
3.58	2700	2691	0	18.99
3.58	2700	2689	0	19.43
3.58	2700	2693	0	19.88
3.59	2700	2694	0	20.35
3.59	2700	2694	0	20.79
3.59	2700	2687	0	21.23
3.59	2700	2692	0	21.68
3.59	2700	2696	0	22.13
3.59	2700	2684	0	22.57
3.60	2700	2696	0	23.02
3.60	2700	2689	0	23.46
3.60	2700	2683	0	23.91
3.60	2700	2698	0	24.35
3.60	2700	2690	0	24.80
3.61	2700	2691	0	25.23
3.61	2700	2697	0	25.67
3.61	2700	2693	0	26.15
3.61	2700	2696	0	26.59
3.61	2700	2693	0	27.03
3.61	2700	2702	0	27.48
3.62	2700	2687	0	27.93
3.62	2700	2692	0	28.37
3.62	2700	2692	0	28.80
3.62	2700	2697	0	29.24
3.62	2700	2694	0	29.69
3.62	2700	2695	0	30.14
3.62	2700	2690	0	30.58
3.63	2700	2698	0	31.03
3.63	2700	2693	0	31.50
3.63	2700	2690	0	31.95
3.63	2700	2687	0	32.40
3.63	2700	2689	0	32.85
3.64	2700	2692	0	33.29
3.64	2700	2696	0	33.75
3.64	2700	2693	0	34.18
3.64	2700	2692	0	34.61
3.64	2700	2690	0	35.06
3.64	2700	2678	0	35.51
3.64	2700	2688	0	35.96
3.64	2700	2694	0	36.40
3.65	2700	2692	0	36.85
3.65	2700	2698	0	37.29
3.65	2700	2691	0	37.74
3.65	2700	2687	0	38.18
3.65	2700	2696	0	38.63
3.65	2700	2695	0	39.07
3.65	2700	2699	0	39.52
3.66	2700	2690	0	39.97
3.66	2700	2691	0	40.41
3.66	2700	2694	0	40.87
3.66	2700	2689	0	41.32
3.66	2700	2696	0	41.78
3.66	2700	2690	0	42.23
3.66	2700	2693	0	42.68
3.67	2700	2695	0	43.12
3.67	2700	2690	0	43.57
3.67	2700	2690	0	44.01
3.67	2700	2691	0	44.48
3.67	2700	2692	0	44.93
3.67	2700	2688	0	45.37
3.67	2700	2692	0	45.82
3.68	2700	2695	0	46.26
3.68	2700	2695	0	46.71
3.68	2700	2689	0	47.16
3.68	2700	2692	0	47.60
3.68	2700	2697	0	48.05
3.68	2700	2695	0	48.49
3.68	2700	2697	0	48.94
3.68	2700	2695	0	49.39
3.69	2700	2698	0	49.83
3.69	2700	2698	0	50.28
3.69	2700	2690	0	50.73
3.69	2700	2691	0	51.16
3.69	2700	2691	0	51.61
3.69	2700	2692	0	52.05
3.69	2700	2695	0	52.48
3.69	2700	2692	0	52.94
3.70	2700	2693	0	53.39
3.70	2700	2690	0	53.83
3.70	2700	2683	0	54.28
3.70	2700	2691	0	54.74
3.70	2700	2695	0	55.17
3.70	2700	2691	0	55.61
3.70	2700	2695	0	56.05
3.70	2700	2695	0	56.50
3.70	2700	2692	0	56.95
3.71	2700	2690	0	57.40
3.71	2700	2692	0	57.85
3.71	2700	2687	0	58.29
3.71	2700	2696	0	58.74
3.71	2700	2690	0	59.19
3.71	2700	2686	0	59.63
3.71	2700	2694	0	60.08
3.71	2700	2689	0	60.52
3.71	2700	2690	0	60.94
3.71	2700	2685	0	61.38
3.72	2700	2689	0	61.83
3.72	2700	2689	0	62.27
3.72	2700	2694	0	62.72
3.72	2700	2692	0	63.17
