Vcell	Icell	measured	regon	time
3.82	1890	1869	0	 0.63
3.83	1890	1870	0	 1.56
3.83	1890	1870	0	 2.00
3.83	1890	1871	0	 2.43
3.84	1890	1864	0	 2.86
3.84	1890	1869	0	 3.29
3.84	1890	1867	0	 3.74
3.84	1890	1874	0	 4.36
3.84	1890	1870	0	 4.81
3.84	1890	1874	0	 5.25
3.85	1890	1872	0	 5.70
3.85	1890	1868	0	 6.14
3.85	1890	1874	0	 6.59
3.85	1890	1872	0	 7.04
3.85	1890	1868	0	 7.48
3.85	1890	1873	0	 7.93
3.85	1890	1868	0	 8.38
3.85	1890	1869	0	 8.82
3.85	1890	1874	0	 9.27
3.85	1890	1868	0	 9.71
3.85	1890	1870	0	10.26
3.86	1890	1872	0	10.70
3.86	1890	1872	0	11.15
3.86	1890	1872	0	11.60
3.86	1890	1866	0	12.04
3.86	1890	1871	0	12.49
3.86	1890	1873	0	12.93
3.86	1890	1868	0	13.38
3.86	1890	1869	0	13.84
3.86	1890	1869	0	14.29
3.86	1890	1872	0	14.75
3.86	1890	1868	0	15.20
3.86	1890	1874	0	15.65
3.86	1890	1873	0	16.17
3.86	1890	1869	0	16.60
3.87	1890	1869	0	17.03
3.87	1890	1870	0	17.48
3.87	1890	1871	0	17.91
3.87	1890	1868	0	18.34
3.87	1890	1868	0	18.78
3.87	1890	1869	0	19.27
3.87	1890	1866	0	19.74
3.87	1890	1867	0	20.18
3.87	1890	1870	0	20.63
3.87	1890	1870	0	21.07
3.87	1890	1869	0	21.53
3.87	1890	1873	0	21.98
3.87	1890	1870	0	22.43
3.87	1890	1870	0	22.87
3.87	1890	1871	0	23.32
3.87	1890	1870	0	23.76
3.87	1890	1870	0	24.21
3.87	1890	1868	0	24.66
3.87	1890	1871	0	25.28
3.88	1890	1872	0	25.75
3.88	1890	1870	0	26.20
3.88	1890	1862	0	26.64
3.88	1890	1868	0	27.08
3.88	1890	1869	0	27.52
3.88	1890	1872	0	27.96
3.88	1890	1868	0	28.40
3.88	1890	1866	0	28.85
3.88	1890	1871	0	29.29
3.88	1890	1868	0	29.74
3.88	1890	1870	0	30.19
3.88	1890	1870	0	30.63
3.88	1890	1869	0	31.08
3.88	1890	1871	0	31.53
3.88	1890	1870	0	32.00
3.88	1890	1871	0	32.45
3.88	1890	1870	0	32.89
3.88	1890	1874	0	33.34
3.88	1890	1870	0	33.80
3.88	1890	1874	0	34.32
3.88	1890	1870	0	34.76
3.88	1890	1871	0	35.21
3.88	1890	1872	0	35.65
3.88	1890	1874	0	36.10
3.88	1890	1867	0	36.54
3.88	1890	1873	0	36.99
3.89	1890	1873	0	37.43
3.89	1890	1870	0	37.88
3.89	1890	1868	0	38.30
3.89	1890	1873	0	38.75
3.89	1890	1869	0	39.18
3.89	1890	1868	0	39.65
3.89	1890	1868	0	40.25
3.89	1890	1870	0	40.70
3.89	1890	1870	0	41.14
3.89	1890	1869	0	41.59
3.89	1890	1872	0	42.03
3.89	1890	1871	0	42.50
3.89	1890	1867	0	42.96
3.89	1890	1869	0	43.42
3.89	1890	1867	0	43.88
3.89	1890	1869	0	44.33
3.89	1890	1873	0	44.78
3.89	1890	1870	0	45.24
3.89	1890	1871	0	45.69
3.89	1890	1871	0	46.27
3.89	1890	1870	0	46.71
3.89	1890	1871	0	47.16
3.89	1890	1867	0	47.61
3.89	1890	1869	0	48.05
3.89	1890	1871	0	48.50
3.89	1890	1872	0	48.94
3.89	1890	1867	0	49.45
3.89	1890	1867	0	49.89
3.89	1890	1868	0	50.34
3.89	1890	1866	0	50.78
3.89	1890	1872	0	51.24
3.89	1890	1871	0	51.71
3.90	1890	1869	0	52.17
3.90	1890	1871	0	52.63
3.90	1890	1872	0	53.08
3.90	1890	1866	0	53.52
3.90	1890	1868	0	53.97
3.90	1890	1872	0	54.42
3.90	1890	1872	0	54.86
3.90	1890	1870	0	55.33
3.90	1890	1872	0	55.77
3.90	1890	1869	0	56.21
3.90	1890	1872	0	56.64
3.90	1890	1870	0	57.09
3.90	1890	1867	0	57.54
3.90	1890	1874	0	58.01
3.90	1890	1874	0	58.45
3.90	1890	1865	0	58.90
3.90	1890	1870	0	59.34
3.90	1890	1871	0	59.79
3.90	1890	1867	0	60.23
3.90	1890	1867	0	60.68
3.90	1890	1871	0	61.28
3.90	1890	1871	0	61.73
3.90	1890	1874	0	62.17
3.90	1890	1872	0	62.62
3.90	1890	1873	0	63.06
3.90	1890	1871	0	63.53
3.90	1890	1870	0	63.97
3.90	1890	1871	0	64.42
3.90	1890	1868	0	64.86
3.90	1890	1871	0	65.32
3.90	1890	1870	0	65.76
3.90	1890	1872	0	66.20
3.90	1890	1872	0	66.67
3.90	1890	1871	0	67.24
3.90	1890	1871	0	67.71
3.90	1890	1871	0	68.15
3.90	1890	1870	0	68.59
3.90	1890	1875	0	69.04
3.90	1890	1874	0	69.48
3.90	1890	1870	0	69.93
3.91	1890	1872	0	70.48
3.91	1890	1874	0	70.93
3.91	1890	1873	0	71.36
3.91	1890	1871	0	71.79
3.91	1890	1870	0	72.23
3.91	1890	1871	0	72.68
3.91	1890	1867	0	73.29
3.91	1890	1868	0	73.73
3.91	1890	1872	0	74.17
3.91	1890	1868	0	74.64
3.91	1890	1871	0	75.08
3.91	1890	1874	0	75.53
3.91	1890	1873	0	75.97
3.91	1890	1871	0	76.41
3.91	1890	1873	0	76.87
3.91	1890	1871	0	77.31
3.91	1890	1870	0	77.76
3.91	1890	1870	0	78.20
3.91	1890	1867	0	78.65
3.91	1890	1869	0	79.29
3.91	1890	1867	0	79.75
3.91	1890	1870	0	80.19
3.91	1890	1870	0	80.62
3.91	1890	1872	0	81.07
3.91	1890	1873	0	81.52
3.91	1890	1871	0	81.96
3.91	1890	1872	0	82.43
3.91	1890	1872	0	82.87
3.91	1890	1871	0	83.32
3.91	1890	1874	0	83.76
3.91	1890	1870	0	84.21
3.91	1890	1872	0	84.65
3.91	1890	1872	0	85.27
3.91	1890	1868	0	85.71
3.91	1890	1871	0	86.15
3.91	1890	1874	0	86.58
3.91	1890	1870	0	87.03
3.91	1890	1874	0	87.47
3.91	1890	1866	0	87.92
3.91	1890	1871	0	88.40
3.91	1890	1870	0	88.84
3.91	1890	1873	0	89.29
3.91	1890	1872	0	89.73
3.91	1890	1867	0	90.18
3.91	1890	1867	0	90.63
3.91	1890	1873	0	91.08
3.91	1890	1871	0	91.54
3.91	1890	1873	0	91.99
3.91	1890	1868	0	92.43
3.91	1890	1871	0	92.86
3.92	1890	1874	0	93.31
3.92	1890	1872	0	93.74
3.92	1890	1873	0	94.29
3.92	1890	1871	0	94.72
3.92	1890	1869	0	95.32
3.92	1890	1875	0	95.76
3.92	1890	1872	0	96.21
3.92	1890	1867	0	96.65
3.92	1890	1870	0	97.14
3.92	1890	1871	0	97.61
3.92	1890	1874	0	98.06
3.92	1890	1869	0	98.49
3.92	1890	1873	0	98.96
3.92	1890	1874	0	99.83
3.92	1890	1873	0	100.39
3.92	1890	1871	0	100.88
3.92	1890	1868	0	101.36
3.92	1890	1870	0	101.83
3.92	1890	1873	0	102.27
3.92	1890	1873	0	102.72
3.92	1890	1869	0	103.20
3.92	1890	1871	0	103.64
3.92	1890	1869	0	104.09
3.92	1890	1871	0	104.53
3.92	1890	1871	0	104.99
3.92	1890	1870	0	105.44
3.92	1890	1870	0	105.89
3.92	1890	1874	0	106.41
3.92	1890	1870	0	106.86
3.92	1890	1871	0	107.30
3.92	1890	1869	0	107.74
3.92	1890	1874	0	108.19
3.92	1890	1871	0	108.67
3.92	1890	1865	0	109.34
3.92	1890	1867	0	109.76
3.92	1890	1869	0	110.21
3.92	1890	1875	0	110.65
3.92	1890	1873	0	111.10
3.92	1890	1872	0	111.54
3.92	1890	1871	0	111.97
3.92	1890	1871	0	112.46
3.92	1890	1868	0	112.92
3.92	1890	1870	0	113.37
3.92	1890	1874	0	113.80
3.92	1890	1872	0	114.23
3.92	1890	1868	0	114.66
3.92	1890	1870	0	115.15
3.92	1890	1871	0	115.59
3.92	1890	1872	0	116.04
3.92	1890	1870	0	116.48
3.93	1890	1871	0	116.95
3.92	1890	1869	0	117.40
3.93	1890	1869	0	117.86
3.93	1890	1871	0	118.42
3.93	1890	1871	0	118.87
3.93	1890	1867	0	119.31
3.93	1890	1877	0	119.76
3.93	1890	1868	0	120.18
3.93	1890	1871	0	120.63
3.93	1890	1867	0	121.08
3.93	1890	1868	0	121.52
3.93	1890	1870	0	121.97
3.93	1890	1873	0	122.41
3.93	1890	1869	0	122.86
3.93	1890	1871	0	123.29
3.93	1890	1874	0	123.76
3.93	1890	1869	0	124.36
