Vcell	Icell	measured	regon	time
3.63479	1890.00	1874.47	0	0.642
3.66937	1890.00	1875.41	0	1.087
3.67942	1890.00	1868.84	0	1.658
3.68180	1890.00	1869.78	0	2.109
3.68455	1890.00	1873.53	0	2.556
3.68574	1890.00	1866.02	0	3.002
3.68864	1890.00	1874.47	0	3.456
3.68908	1890.00	1870.71	0	3.903
3.68953	1890.00	1868.84	0	4.343
3.69117	1890.00	1868.84	0	4.776
3.69310	1890.00	1873.53	0	5.223
3.69369	1890.00	1871.65	0	5.655
3.69429	1890.00	1874.47	0	6.085
3.69563	1890.00	1873.53	0	6.517
3.69630	1890.00	1870.71	0	6.965
3.69786	1890.00	1866.96	0	7.549
3.69868	1890.00	1871.65	0	7.979
3.69868	1890.00	1867.90	0	8.424
3.69972	1890.00	1871.65	0	8.869
3.70031	1890.00	1868.84	0	9.317
3.70210	1890.00	1871.65	0	9.763
3.70254	1890.00	1873.53	0	10.209
3.70284	1890.00	1867.90	0	10.639
3.70344	1890.00	1872.59	0	11.087
3.70374	1890.00	1872.59	0	11.532
3.70411	1890.00	1871.65	0	11.961
3.70493	1890.00	1873.53	0	12.405
3.70619	1890.00	1872.59	0	12.851
3.70671	1890.00	1867.90	0	13.299
3.70730	1890.00	1867.90	0	13.738
3.70745	1890.00	1870.71	0	14.186
3.70797	1890.00	1872.59	0	14.633
3.70812	1890.00	1866.02	0	15.078
3.70879	1890.00	1866.96	0	15.523
3.70924	1890.00	1866.02	0	15.970
3.70991	1890.00	1872.59	0	16.479
3.71006	1890.00	1874.47	0	16.912
3.71140	1890.00	1874.47	0	17.359
3.71184	1890.00	1875.41	0	17.806
3.71229	1890.00	1871.65	0	18.252
3.71229	1890.00	1866.96	0	18.685
3.71266	1890.00	1866.96	0	19.130
3.71318	1890.00	1867.90	0	19.555
3.71340	1890.00	1874.47	0	20.003
3.71422	1890.00	1872.59	0	20.450
3.71467	1890.00	1874.47	0	20.896
3.71452	1890.00	1870.71	0	21.341
3.71556	1890.00	1870.71	0	21.786
3.71645	1890.00	1867.90	0	22.236
3.71645	1890.00	1867.90	0	22.683
3.71802	1890.00	1871.65	0	23.112
3.71749	1890.00	1870.71	0	23.560
3.71787	1890.00	1869.78	0	23.990
3.71779	1890.00	1870.71	0	24.434
3.71817	1890.00	1865.08	0	24.881
3.71809	1890.00	1870.71	0	25.360
3.71861	1890.00	1866.96	0	25.822
3.71884	1890.00	1871.65	0	26.269
3.71883	1890.00	1867.90	0	26.714
3.71980	1890.00	1865.08	0	27.160
3.71980	1890.00	1870.71	0	27.605
3.72062	1890.00	1872.59	0	28.052
3.72106	1890.00	1870.71	0	28.538
3.72129	1890.00	1867.90	0	28.990
3.72128	1890.00	1869.78	0	29.436
3.72181	1890.00	1866.96	0	29.881
3.72233	1890.00	1871.65	0	30.328
3.72248	1890.00	1872.59	0	30.773
3.72293	1890.00	1871.65	0	31.219
3.72277	1890.00	1869.78	0	31.655
3.72210	1890.00	1872.59	0	32.085
3.72233	1890.00	1871.65	0	32.530
3.72277	1890.00	1871.65	0	32.956
3.72300	1890.00	1870.71	0	33.400
3.72382	1890.00	1868.84	0	33.847
3.72344	1890.00	1874.47	0	34.282
3.72404	1890.00	1869.78	0	34.741
3.72434	1890.00	1867.90	0	35.172
3.72538	1890.00	1871.65	0	35.605
3.72530	1890.00	1869.78	0	36.051
3.72590	1890.00	1871.65	0	36.479
3.72575	1890.00	1872.59	0	36.926
3.72642	1890.00	1877.28	0	37.509
3.72694	1890.00	1867.90	0	37.960
3.72664	1890.00	1875.41	0	38.394
3.72657	1890.00	1875.41	0	38.827
3.72694	1890.00	1869.78	0	39.272
3.72753	1890.00	1870.71	0	39.735
3.72694	1890.00	1868.84	0	40.195
3.72746	1890.00	1872.59	0	40.643
3.72716	1890.00	1872.59	0	41.089
3.72731	1890.00	1868.84	0	41.520
3.72723	1890.00	1869.78	0	41.972
3.72776	1890.00	1872.59	0	42.419
3.72798	1890.00	1875.41	0	42.849
3.72805	1890.00	1871.65	0	43.296
3.72790	1890.00	1873.53	0	43.756
3.72872	1890.00	1873.53	0	44.202
3.72857	1890.00	1869.78	0	44.640
3.72962	1890.00	1875.41	0	45.085
3.72961	1890.00	1873.53	0	45.529
3.72954	1890.00	1869.78	0	45.975
3.73036	1890.00	1874.47	0	46.486
3.73014	1890.00	1868.84	0	46.916
3.73066	1890.00	1869.78	0	47.373
3.73103	1890.00	1874.47	0	47.819
3.73133	1890.00	1880.10	0	48.265
3.73155	1890.00	1873.53	0	48.712
3.73155	1890.00	1867.90	0	49.158
3.73155	1890.00	1870.71	0	49.576
3.73132	1890.00	1867.90	0	50.035
3.73170	1890.00	1868.84	0	50.467
3.73147	1890.00	1865.08	0	50.896
3.73200	1890.00	1871.65	0	51.330
3.73170	1890.00	1872.59	0	51.776
3.73177	1890.00	1873.53	0	52.207
3.73207	1890.00	1871.65	0	52.653
3.73259	1890.00	1871.65	0	53.098
3.73229	1890.00	1877.28	0	53.544
3.73252	1890.00	1869.78	0	53.988
3.73281	1890.00	1871.65	0	54.450
3.73259	1890.00	1872.59	0	54.894
3.73237	1890.00	1871.65	0	55.392
3.73296	1890.00	1871.65	0	55.846
3.73252	1890.00	1873.53	0	56.296
3.73319	1890.00	1871.65	0	56.740
3.73326	1890.00	1868.84	0	57.188
3.73415	1890.00	1873.53	0	57.616
3.73408	1890.00	1871.65	0	58.061
3.73445	1890.00	1878.22	0	58.566
3.73408	1890.00	1872.59	0	59.011
3.73490	1890.00	1866.96	0	59.464
3.73489	1890.00	1871.65	0	59.915
3.73519	1890.00	1867.90	0	60.345
3.73519	1890.00	1868.84	0	60.791
3.73579	1890.00	1870.71	0	61.222
3.73564	1890.00	1873.53	0	61.667
3.73571	1890.00	1874.47	0	62.113
3.73571	1890.00	1874.47	0	62.557
3.73571	1890.00	1871.65	0	62.987
3.73653	1890.00	1869.78	0	63.434
3.73638	1890.00	1866.96	0	63.879
3.73624	1890.00	1869.78	0	64.408
3.73683	1890.00	1868.84	0	64.839
3.73660	1890.00	1873.53	0	65.285
3.73601	1890.00	1869.78	0	65.731
3.73653	1890.00	1871.65	0	66.177
3.73646	1890.00	1870.71	0	66.623
3.73706	1890.00	1874.47	0	67.078
3.73646	1890.00	1872.59	0	67.590
3.73690	1890.00	1874.47	0	68.037
3.73668	1890.00	1871.65	0	68.482
3.73728	1890.00	1870.71	0	68.929
3.73683	1890.00	1872.59	0	69.377
3.73690	1890.00	1874.47	0	69.821
3.73735	1890.00	1873.53	0	70.285
3.73713	1890.00	1871.65	0	70.737
3.73705	1890.00	1872.59	0	71.164
3.73735	1890.00	1871.65	0	71.611
3.73735	1890.00	1874.47	0	72.056
3.73780	1890.00	1869.78	0	72.501
3.73832	1890.00	1868.84	0	72.931
3.73787	1890.00	1871.65	0	73.403
3.73847	1890.00	1870.71	0	73.830
3.73817	1890.00	1873.53	0	74.279
3.73839	1890.00	1875.41	0	74.725
3.73817	1890.00	1872.59	0	75.172
3.73884	1890.00	1870.71	0	75.616
3.73899	1890.00	1873.53	0	76.047
3.73928	1890.00	1870.71	0	76.593
3.73943	1890.00	1877.28	0	77.025
3.73913	1890.00	1871.65	0	77.469
3.73936	1890.00	1871.65	0	77.902
3.73966	1890.00	1875.41	0	78.331
3.73988	1890.00	1868.84	0	78.775
3.74018	1890.00	1873.53	0	79.223
3.73995	1890.00	1871.65	0	79.653
3.74070	1890.00	1874.47	0	80.099
3.74077	1890.00	1872.59	0	80.553
3.74062	1890.00	1872.59	0	80.987
3.74115	1890.00	1869.78	0	81.432
3.74092	1890.00	1872.59	0	81.863
3.74107	1890.00	1868.84	0	82.365
3.74107	1890.00	1871.65	0	82.818
3.74107	1890.00	1870.71	0	83.263
3.74070	1890.00	1872.59	0	83.709
3.74166	1890.00	1876.35	0	84.154
3.74152	1890.00	1870.71	0	84.604
3.74077	1890.00	1875.41	0	85.049
3.74121	1890.00	1873.53	0	85.595
3.74099	1890.00	1871.65	0	86.048
3.74166	1890.00	1874.47	0	86.499
3.74084	1890.00	1874.47	0	86.945
3.74122	1890.00	1871.65	0	87.378
3.74151	1890.00	1870.71	0	87.824
