Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.055800	0.095975	0.141156	3.359080	0.230833
0.000000	0.291594	0.105360	0.392672	3.362120	0.491264
0.000000	0.548449	0.096913	0.633336	3.360864	0.725933
0.000000	0.781539	0.098791	0.866820	3.361828	0.959171
0.000000	1.015231	0.099729	1.101625	3.360936	1.192727
0.000000	1.250459	0.097852	1.336002	3.361755	1.428587
0.000000	1.484624	0.100668	1.570153	3.360192	1.662489
0.000000	1.718465	0.103483	1.804988	3.360264	1.898017
0.000000	1.954204	0.099729	2.042485	3.358854	2.132505
0.000000	2.189372	0.096913	2.276319	3.360715	2.354683
0.000000	2.410074	0.106299	2.498733	3.360410	2.591424
0.000000	2.647604	0.095975	2.733795	3.360641	2.823968
0.000000	2.881069	0.102544	2.968592	3.361677	3.061987
0.000000	3.118495	0.100668	3.206343	3.360786	3.297862
0.000000	3.352847	0.110052	3.441021	3.358326	3.534363
0.000000	3.591820	0.099729	3.676415	3.361753	3.767303
0.000000	3.823126	0.101606	3.909499	3.362123	4.002611
0.000000	4.058495	0.099729	4.145185	3.363017	4.236580
0.000000	4.294115	0.098791	4.379478	3.363241	4.470857
0.000000	4.526759	0.102544	4.613762	3.359744	4.704652
0.000000	4.760995	0.102544	4.847548	3.362717	4.940091
0.000000	4.996295	0.098791	5.081528	3.359821	5.174155
0.000000	5.231297	0.105360	5.318657	3.359890	5.411007
0.000000	5.468258	0.104422	5.553614	3.358479	5.644245
0.000000	5.701900	0.096913	5.789459	3.360566	5.879350
0.000000	5.936440	0.103483	6.023253	3.360784	6.114041
0.000000	6.169955	0.103483	6.258225	3.362122	6.348997
0.000000	6.404371	0.103483	6.491149	3.360635	6.581390
0.000000	6.637766	0.098791	6.724556	3.361085	6.815393
0.000000	6.872736	0.098791	6.957917	3.361977	7.051057
0.000000	7.106868	0.102544	7.193035	3.360190	7.294359
0.000000	7.350480	0.111930	7.436105	3.358547	7.528990
0.000000	7.586207	0.118499	7.673356	3.360252	7.764317
0.000000	7.821481	0.099729	7.905434	3.361307	7.998693
0.000000	8.054999	0.098791	8.142642	3.362943	8.233407
0.000000	8.289054	0.099729	8.375791	3.362051	8.468332
