Vcell	Icell	time
3.488960	2.160000	0.003333
3.754460	2.160000	0.037167
3.762190	2.160000	0.070833
3.768140	2.160000	0.104667
3.772900	2.160000	0.138333
3.777360	2.160000	0.172167
3.781220	2.160000	0.205833
3.783300	2.160000	0.239500
3.786870	2.160000	0.273333
3.789840	2.160000	0.307000
3.795200	2.160000	0.340667
3.796980	2.160000	0.374500
3.798470	2.160000	0.408167
3.801440	2.160000	0.442167
3.804120	2.160000	0.476000
3.805010	2.160000	0.509833
3.806790	2.160000	0.543333
3.809170	2.160000	0.577167
3.810950	2.160000	0.611000
3.810360	2.160000	0.644833
3.814820	2.160000	0.678667
3.815410	2.160000	0.712500
3.818090	2.160000	0.746167
3.819280	2.160000	0.779833
3.817500	2.160000	0.813333
3.820770	2.160000	0.847167
3.821360	2.160000	0.880833
3.824930	2.160000	0.914667
3.824040	2.160000	0.948333
3.826710	2.160000	0.982167
3.827010	2.160000	1.015833
3.827600	2.160000	1.049667
3.829390	2.160000	1.083333
3.831470	2.160000	1.117000
3.832660	2.160000	1.150833
3.832960	2.160000	1.184500
3.833250	2.160000	1.218500
3.834440	2.160000	1.252333
3.833850	2.160000	1.286167
3.834740	2.160000	1.319833
3.835930	2.160000	1.353833
3.837120	2.160000	1.387500
3.838610	2.160000	1.421167
3.838310	2.160000	1.455000
3.840090	2.160000	1.488667
3.841880	2.160000	1.522500
3.841580	2.160000	1.556333
3.842170	2.160000	1.590167
3.844250	2.160000	1.623833
3.842770	2.160000	1.657667
3.844250	2.160000	1.691167
3.843070	2.160000	1.725000
3.845740	2.160000	1.758833
3.846340	2.160000	1.792500
3.846630	2.160000	1.826333
3.846930	2.160000	1.860000
3.848120	2.160000	1.893833
3.848420	2.160000	1.927500
3.848420	2.160000	1.961333
3.849310	2.160000	1.995000
3.848420	2.160000	2.028667
3.850800	2.160000	2.062333
3.851390	2.160000	2.096000
3.852880	2.160000	2.129833
3.851980	2.160000	2.163833
3.853770	2.160000	2.197500
3.852880	2.160000	2.231167
3.854960	2.160000	2.264833
3.854070	2.160000	2.298667
3.855260	2.160000	2.332333
3.856440	2.160000	2.366167
3.857930	2.160000	2.400000
3.857630	2.160000	2.434000
3.857630	2.160000	2.467667
3.857930	2.160000	2.501500
3.858230	2.160000	2.535333
3.860010	2.160000	2.569000
3.857340	2.160000	2.602833
3.858820	2.160000	2.636500
3.861800	2.160000	2.670333
3.862990	2.160000	2.704000
3.861800	2.160000	2.737833
3.860900	2.160000	2.771833
3.862690	2.160000	2.805500
3.862390	2.160000	2.839333
3.862990	2.160000	2.873000
3.864170	2.160000	2.906667
3.862990	2.160000	2.940500
3.862990	2.160000	2.974500
3.865070	2.160000	3.008333
3.865360	2.160000	3.042167
3.865660	2.160000	3.075833
3.866260	2.160000	3.109500
3.866550	2.160000	3.143333
3.866850	2.160000	3.177167
3.868340	2.160000	3.210667
3.866850	2.160000	3.244500
3.867150	2.160000	3.278167
3.868630	2.160000	3.312000
3.867450	2.160000	3.345667
3.868340	2.160000	3.379333
3.869820	2.160000	3.413167
3.871010	2.160000	3.447000
3.870420	2.160000	3.480667
3.872500	2.160000	3.514500
3.871310	2.160000	3.548000
3.871010	2.160000	3.581833
3.870720	2.160000	3.615833
3.873690	2.160000	3.649667
3.872800	2.160000	3.683333
3.873390	2.160000	3.717167
3.873990	2.160000	3.751000
3.872800	2.160000	3.784667
3.875470	2.160000	3.818333
3.875180	2.160000	3.851833
3.876360	2.160000	3.885500
3.876360	2.160000	3.919333
3.876660	2.160000	3.953000
3.876360	2.160000	3.986833
3.877260	2.160000	4.020833
3.877550	2.160000	4.054500
3.876960	2.160000	4.088167
3.877260	2.160000	4.122000
3.878740	2.160000	4.155667
3.878740	2.160000	4.189167
3.879930	2.160000	4.222833
